10
10.2,8.6,0
19.8,18.9,0
28.9,27.6,0
40.7,38.3,0
49.7,47,0
57.7,55.9,0
69.2,63.9,0
81,73.1,0
92.4,81.9,0
103.2,93,0
115,102.8,0
123.7,111.8,0
133.8,123.6,0
141.8,131.9,0
152.1,141.2,0
161.3,150.2,0
170.8,159.4,0
179.5,170.1,0
189.7,179.1,0
201,190.9,0
210.4,202.6,0
222.2,211.5,0
232.2,221.8,0
242.2,232.6,0
253.1,244.2,0
262,254.5,0
271.7,243.6,0
280.7,232.9,0
290.8,224.2,0
300.6,216.1,0
311.6,205.9,0
319.7,197.4,0
331.5,186.8,0
343.4,176.2,0
355.2,166.9,0
366.7,157.6,0
378.3,146.1,0
369.5,134.2,0
361.2,122.9,0
350,113.4,0
341.5,101.6,0
333.3,93.5,0
325.2,82.5,0
313.4,72.5,0
304.7,64.2,0
294.9,54.4,0
282.9,45.8,0
274.3,34.3,0
263.5,24.4,0
252.5,16,0
242.5,5.4,0
230.9,-5.6,0
220,-14.6,0
209.1,-24.1,0
197.2,-34.1,0
186.2,-44,0
177.9,-52.8,0
169,-61.6,0
159.8,-70.5,0
150.9,-80.9,0
142.3,-90.7,0
134,-102.3,0
125.6,-113.6,0
115.3,-122.1,0
106.2,-130.2,0
97.9,-140,0
87.7,-150.4,0
78.9,-161.9,0
67.4,-173.2,0
58.7,-183.8,0
48.9,-192.9,0
40,-201.4,0
31.6,-209.9,0
21,-220.8,0
11.6,-231.2,0
2.9,-239.4,0
-6.2,-247.8,0
-17.7,-238.2,0
-26.4,-227.2,0
-36.7,-216,0
-47.8,-204.5,0
-57.7,-194.1,0
-67.4,-182.7,0
-78.1,-172,0
-89.3,-161.3,0
-98.2,-150,0
-108.2,-141.6,0
-118.2,-132.7,0
-130.1,-122.9,0
-140,-112.9,0
-150.3,-104.3,0
-158.5,-93.1,0
-166.8,-81.6,0
-175.1,-71.2,0
-184.6,-60.3,0
-195.4,-48.8,0
-207.4,-38.8,0
-217.7,-27.9,0
-226.6,-19.7,0
-238.4,-9,0
-250.1,0.6,0
