-1.3,-1.4
-2.4,-3.3
-4.8,-4.9
-6.4,-6
-8.5,-8
-11.2,-10.4
-12.9,-13.1
-14.8,-15.2
-17.2,-16.2
-19.2,-19
-22,-20.8
-23.3,-22.8
-24.9,-24.1
-26.3,-26.7
-28.8,-29.4
-30.6,-32.3
-32.6,-33.8
-34.7,-35
-35.9,-36.8
-38.1,-39.4
-39.2,-41.6
-41,-43.5
-42.7,-44.5
-45.6,-46.7
-47.3,-49
-49.9,-50.9
-52.7,-53.4
-54.9,-54.9
-56.1,-55.9
-58.6,-58.4
-60.9,-60.7
-62.2,-63.3
-63.4,-66
-65.5,-68.3
-67.4,-69.6
-68.8,-72.1
-71.6,-74.4
-73.3,-76.6
-76,-77.9
-78,-79.9
-80.7,-81.9
-83.4,-84.6
-85.7,-86.9
-87.4,-88.7
-88.8,-89.9
-90.4,-92.1
-92.5,-95
-94.2,-96.1
-96,-97.3
